,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
78,si porque es redonda y circular,que grita mucho,perro porque tiene pelos,una moneda,suave,duros u fuertes,no tengo hermana,0,nada solo se hace de día y ya,que si tendré tiempos mejores que estos,cristales en forma de estrella,si por que son cristales,vestidos con hilos,si por que si existe la tela,zapatos hechos de miel,0,una piedra tradicional,una cultura tradicional,un muñeco de hierro,no es posible por que le hierro es muy fuerte,banqueta con un suéter,no es posible,una silla con pies,por que no tiene pies para correr,0,por que tienen pies,0,por que corre el tiempo
79,si porque se refiere a objetos,que mi hermano grita mucho,un montón de pelos,0,cabello duro,dientes brillosos,mi hermana es buena,sonrisa fría,se ve cuando sale el sol,vendrán días mejores,estrellas como cristales,si por que brillan como cristal,un vestido hecho de tela,porque se puede hacer un vestido de tela,zapatos como la miel,no es posible hacerlos,una escultura como de piedra,un objeto o persona que parece de piedra,una alma muy fuerte,no una alma buena,una banqueta cómoda,porque no,la silla llego a la mesa,0,los atletas corren,0,el tiempo alcanza,0
80,0,mas o menos le entendí,0,0,El cabello es verde o de paja,son los dientes que tenemos,de dulce,de hielo,te hace dormir,vienen tiempos mejores,0,no existen,vestido,porque si,0,no existen,antigua,existieron ase muchos anos,no existe,0,0,algo que le abriga,0,no existe,por que existe,0,corre el tiempo,0
81,no porque las pelotas no cantan,que es muy enojon,mi gato porque tiene pelos,le puse pez porque hay unos que parecen plata,bonito de diferentes colores,bonitos y son blancos o amarillos,Es muy inteligente y responsable,muy hermosa y se te hacen hoyitos,se fue a otro lado,que estas en un problema,que tienen cristal,por que nunca va a existir,que hagan vestidos con tela,por que ya existieron,que tienen miel,nunca a existido,una figura de piedra,porque ya los he visto,que alma es de hierro,no la tenemos nosotros,que este cubierta,las banquetas no han tenido eso,que esta donde te vas a sentar,en la casa la tenemos,que corren,por que los he visto,que te alcanza,por que no hay maquina del tiempo
82,no porque no rima tanto pelota que canta porque no termina igual,que su hermano grita mucho,perros porque tienen mucho pelo,un anillo de plata,no tiene sentido,son muy grandes,un poco traviesa,rosa o roja,se fue el día,como si todo le saliera mal,por que cuando empiezan parpadean,0,por que la ropa es de tela,0,0,por que eso es imposible,si por que lo aprendí,0,0,no encuentro sentido,0,no tiene sentido,0,no existe,corren mucho,0,0,por que no tiene sentido
83,si quiere decir que su mama es una persona que canta,que su hermano grita mucho,la cabeza porque tiene mucho pelo,una moneda que brilla,duro,muy blancos,linda y tierna,no sonríes,que la noche ya paso,que habrá mejores momentos,estrellas muy brillantes,0,vestidos suaves,por que si hay vestidos de tela,0,0,personas aburridas,hay algunas personas aburridas,un alma muy fuerte,porque hay personas que tienen alma,una banqueta que es muy segura,porque hay calles o banquetas que no son seguras,0,no lo podría explicar,cuando están en una carrera,por que corren mucho,tener que aprovechar el tiempo,por que si no lo aprovechas se te va
84,no porque las pelotas no tienen boca,0,un perro porque tienen muchos pelos,la luna,Rasposo,brillantes,amable,congelada como si hubiera comido mucho helado,la luna,que podrán ser mejores,0,no se,la ropa,no se,0,0,alguien muy importante que existió,0,0,0,0,0,0,0,por que a eso se dedican,0,que puede sobrar para lo que sea,0
85,si porque las mamas luego cantan,que los bebes lloran,perro porque es peludo,porque la moneda es redonda y es de plata,0,limpios y blancos,buena y linda,0,0,pasaran mejores cosas,que las estrellas son de cristal,0,vestidos echos de tela,porque si se pueden hacer vestidos de tela,zapatos hechos de miel,no por que se pegaría a la ropa,escultura echa de piedra,si se puede hacer una escultura de piedra,0,0,0,0,0,0,que los atletas pueden correr,por que todos pueden correr,que se puede hacer tarde,por que a todos se le puede hacer tarde
86,0,que mi hermano grita,que una pelota tiene pelos,es la pelota de plata,a veces largo o corto,son duros y blancos,es como todas las hermanas,0,nada,que hay mas tiempos mejores,que serian estrellas echas de cristal,por que es imposible se ven con la luz,es copa pero larga,ya es posible,0,por que vendrían las abejas,son estatuas echas de piedra,ya ahí estatuas por todos lados,0,no no es posible,la banqueta te abrigaría,por que se ensucia,0,0,que algunas personas corren mucho,si es posible,que el tiempo no espera,si es posible
87,si porque habla de puras pelotas y cuando lo leí si tenia sentido,que su hermano tiene una cabeza redonda y siempre grita,0,que es una pelota pero esa pelota es de plata,cuando es largo en las mujeres hacen mucho estorbo,son dientes duros que están llenos de perlas,mi hermana es dulce,la sonrisa es cuando te hacen reír pero en esta ocasión la sonrisa es de hielo,la noche se quedo atrás,que vendrán tiempos mejores como no te llevaron al cine y seria que te llevaran otro día mejor,que son estrellas de cristal,si es posible por que la frase se le entiende y también el significado,son vestidos hechos con tela,0,son zapatos hechos de miel,si es posible por que la frase dice zapatos hechos de miel,0,la escultura de piedra no le entiendo,no significa nada,esta frase tampoco es posible,no significa nada,esta frase tampoco es posible,tampoco significa nada,esta frase tampoco es posible,unos señores corren,esta frase si es posible,que el tiempo alcanza,esta frase también es posible
88,no porque no tiene sentido,que grita,como el zacate,moneda,bonito y sedoso,limpios y sanos te sirven para masticar,bonita como mi mama,chula y cajuay,se quedo atrás,de que vendrán tiempos mejores,hacerlo como una escultura,como hacerla como escultura,hacer un vestido,hacerlo con tela,que no,es que no es lógico,hacerla,con un artista la ase,no existe,no existe,es imposible,no se puede hacer,no se mueven las sillas,es imposible,pues si,siempre corren,no se puede,no alcanza
89,si porque su mama canta,que su hermano grita mucho,perro o hamster,la luna es porque no hay pelotas de plata,limpio suave,limpios blancos sucios etc,griton enojon descuidado y miedoso,lindo,0,0,que son estrellas,no se puede cortar el,que es un vestido,por que si se puede,son zapatos llenos de miel,no existe,es una obra y es una fuente,no lo veo,que eres luchador,por que no soy,una banqueta,no existe,es una frase sin sentido,no existe,que los corredores corren,por que es de verdad,0,es una frase de muerte
90,no porque no rima,que su hermano grita mucho,una pelota de lana porque tiene forma de pelota y tiene tipo de pelos,son o pueden ser aretes de plata porque tienen forma de pelota,como el pasto,como los pedazos de elote,flaco y cariñoso,como la luna brillando,0,que en mi futuro habrá cosas mejores,estrellas muy brillantes,por que no las he visto,vestidos hechos con tela,por que ya los he visto,zapatos hechos de miel,por que esos zapatos no existen y no lo he visto,escultura hecha de piedra,por que ya los vi,alma hecha de hierro,por que no existe y no la he visto,banqueta que abriga,por que no la he visto,silla que llego sola,por que no la he visto,atletas corriendo,por que ya los vi,que el tiempo nos alcanza,por que cuando hago algo se me va el tiempo muy rápido
91,no porque las pelotas no cantan,mi hermano bebe chilla y grita mucho,el gato se hace rollo de pelos,moneda redonda de plata,de estambre azul,perlas redondas,muy cariñosa adorable y dulce,muy sonriente,ya amaneció y es de día,el futuro tuyo sera mejor que hoy en día,estrella echa de cristal,se pueden crear las estrellas de cristal,los vestidos son de tela,están hechas e pura tela teloso,no hay eso,no existen,si hay de piedra,algunas están echas de pura piedra,no existe,no hay esas cosas posible,hay banquetas,hay banquetas en todas las calle,no se mueven las sillas,0,si corren,son atletas,si alcanza,hay tiempo sobrante
92,no porque las pelotas no hablan,que mi hermano siempre grita,0,0,es redondo y duro,0,es amable,0,0,0,una estrella de vidrio,no se puede cortar el,que es un vestido hecho de tela,no se,0,0,una escultura echa de piedra,0,una alma fuerte,0,0,0,0,0,0,0,que tienes tiempo,0
93,no porque las pelotas rebotan,que tu hermano cada vez que salta grita,ardilla,pelota de boliche,de vapor,suave,normal,normales,se caen las hojas,que la navidad es hoy,que tienes unas piernas duras,por que las piernas no son tan duras,que hagas un sobre de papel,si por que un sobre siempre es de papel,no se pero no creo que existan,0,cuando el carbón quema,si el carbón siempre prende,como cuando te cae limón,te puede caer limón,no se pero no creo que existan,las calcetas no son de plata,la cebolla puede llegar a tus ojos,0,no sabría decirte,todos los animales que sean aves vuelan,no sabría decirte,pero cuando el sol oscurece llega la noche
94,no porque las pelotas no cantan,que grita mucho,un perro,pelota brillante,nubes blancas,piel suave,mirada enojada,ojos verdes,se caen las hojas de los arboles,cae nieve,piernas fuertes,por que nadie tiene piernas de hacer,sobre para cartas,por que si existen,pasto seco,por que no hay calendario de pasto seco,carbón quemado,por que al carbón se vende en tiendas,ojos verdes,por que hay personas con ojos verdes,calceta echa de plata,no hay calcetas de plata,viene la cebolla,por que las cebollas no caminan o vuelan,que vuelan las gaviotas,porque si vuelan,que se hizo de noche,porque esta el día y la noche
95,no porque las pelotas no cantan,mi hermano grita mucho,mi axila porque tiene pelos,el es blanco,son gas,de carne,es vista,blancos y de otros colores,viene,es navidad,pies duros,no por que no hay pies que sean de grava,son donde guardas una carta de papel,si por que yo lo he visto,calendario de pasto,no por que no hay calendarios de pasto,carbón en fuego,si por que el carbón prende,0,0,0,0,0,0,que las aves vuelan,si por que las aves vuelan,esta noche,si hay noche
96,no porque las pelotas no cantan,que mi hermanito siempre grita y no suelta la pelota,tiene una pelota de pelos esta bien buena,que la pelota vale mucho,son blancas y creo esponjosas,es piel que esta seca,bonita,son ojos que no han dormido,se caen muchas hojas de los arboles,ya es navidad,tener músculos en las piernas,si es posible por que tienen que hacer mucho ejercicio,es una bola de papel,si es posible es una bola y la doblas,calendario de pasto seco,si es posible por que el pasto lleva mucho tiempo,carbón,si por que lo calientan y hay carbón ardiente,0,no es posible por que nunca hay ojos amargos,no hay calcetas,no es posible por que nunca hay calcetas de plata,la cebolla no llega,no es posible por que la cebolla nunca llega sola,las gaviotas vuelan,si es posible por que si vuelan,si la noche llega,si es posible la noche llega
97,no porque no rima,que su hermanito grita pelotas pelotas,una pelota de pelo no se puede porque se desata,no se puede porque una pelota de plata no existe,blancas,caro,de colores,blancos con negro,ocurre mucho calor,que la navidad llego,que tu pierna sea de acero,no por que no existe ninguna pierna de acero,no hay ningún sobre de papel,por que no existe ningún sobre de papel,no por que no existe calendario de zacate,por que no existe ningún calendario de zacate,si existe por que cuando haces una carne asada,cuando ases una carne asada,no existe,no existe por que no existen ojos amargos,no existe,no existe calceta de plata,no existe,no existe por que la cebolla no llega a ti,si existe,si existe por que las gaviotas vuelan,si existe,si existe por que la noche llega
98,no porque no rima,que grita mucho,que esta hecha de pelos,que esta hecha de plata,que son blancas y saben a leche,que es como las velas,que esta enojada la mirada,es como un limón,que ya mero viene el verano,que ya esta la navidad,que esta hecha de acero,por que a los decapitados se la ponen,como la que le pone la carta,por que ahí pone la carta,que esta hecho de pasto,por que ningún calendario esta hecho de pasto,que esta caliente el carbón,por que siempre lo calientan,como un limón,por que lo ojos amagos no existen,que esta hecha de plata,por que ninguna calceta esta hecha de plata,que llega al mercado,por que se la entrega al mercado,que las gaviotas vuelan,por que las gaviotas vuelan por los aires,es que se hace oscuro,por que se hace de noche
99,no porque una pelota no canta,circular comelona,el mundo,una pelota cuadrada,gordas con leche y suaves,es suave,que no le dejen de ver a los ojos,que sea aburrido,las vacaciones están cerca,que la navidad ya llego,unas piernas de aro,porque no pueden ser posibles,arriba de una hoja,por que las hojas no son grandes,un calendario de pasto,por que las hojas no son grandes,carbón ardiente,por que existe el fuego,ojos con limón,por que no hay ojos de limón,no hay plantas en calcetas,por que no puedes plantarlas en ellas,no tienen pies,las cebollas no caminan,no tienen alas,por que no hay gatas que vuelen,la noche llega,por que ya casi es de noche
100,no porque ninguna pelota canta,su hermano grita,axila,puede haber una pelota de béisbol hecha de plata,blancas,suave,fija,0,empieza el calor,empieza la navidad,piernas fuertes,lo he visto,un sobre hecho de papel,los he visto,calendario de pasto,no los he visto,horno caliente,lo he visto,persona amarga,lo he visto,calceta hecha de plata,a la plata le pueden dar forma de calceta,la cebolla camina,las cebollas no tienen pies,las gaviotas pueden volar,las gaviotas tienen alas,ya paso el día,se acaban el día empieza la noche
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,si el sol es redondo y con fuego,que grita demasiado,0,la luna es redonda y de color plata,suave limpio y sedoso,son cristalinos,es alegre triste,0,0,que no pierdas la fe,estrellas de luz,se pueden crear en esculturas,vestidos,ya están creados,0,0,arte,también se pueden crear,que eres muy fuerte,hay personas fuertes,0,no se puede hacer,0,0,que corren muy rápido,por que los atletas corren muy rápido,0,0
103,no tiene sentido porque casi no rima,mi hermana es una pelota de risa,perro porque tiene mucho pelo,puede ser mi cabeza y puede ser un planeta,suave,duros,bonita,fea,salen las estrellas,0,0,nunca he visto una estrella de cristal,0,por que si hay vestidos de tela,0,por que no hay zapatos de miel,0,por que si hay esculturas de piedra,0,por que no hay alma de hierra,0,por que no hay banquetas,0,0,0,por que si compiten los atletas,0,por que alguna ves si da tiempo
104,no porque las pelotas no cantan,0,0,una pelota color plata,largo corto y de colores,blancos brillantes,un poco regañona,brillante,se mueve de posición con el sol,que no pierdas la fe,0,por que no hay estrellas de cristal,tela,todos los vestidos son de tela,miel,los zapatos no son de miel,piedra,0,0,0,0,0,no se puede mover,la silla no corre,0,0,se acaba,se acaba el día
105,no mi mama no canta o tal vez las demás igual no,que ese hermanito llora mucho y grita mucho,el coco porque es redondo y circular y ademas tiene pelos,una moneda porque es de plata y redonda,de zacate,los dientes son de perla,mi hermana es dulce,la sonrisa es de hielo,se quedo atrás,que en el futuro puede que sea mejor el mundo,estrellas hechas de cristal,si es posible por que nunca dicen si es del espacio de fabrica o echo a mano,un vestido hecho de tela,por que hay vestidos así,zapatos dulces provenientes de abejas,no por que la miel se caería y se extendería en el piso,escultura echa a mano con herramienta,por que ya gay esculturas de piedra,alma dura persona dura,por que hay personas así,no significa nada no tiene sentido,por que no tiene sentido,no hay significado,por que no hay nada de significado,que personas corren,por que los atletas hacen eso,que el tiempo te alcanza,por que es como que la hora te alcanza
106,si porque tiene muchas rimas,que es muy gritona,0,no tiene sentido,como pasto,como perlas,muy buena,0,que la noche no llego,que le va a ir bien,una estrella de cristal,por que no puede dar una estrella de cristal,como ropa normal,por que yo ya he visto un vestido de tela,zapatos de miel,por que no puede ver un zapato de miel,escultura de piedra,por que si hay esculturas de piedra,tu alma es muy fuerte,por que lo e disto es una película,que es una banqueta que te abriga,por que no existe,0,por que una silla no camina,que corren,porque yo ya he ido a una carrera,0,0
107,si tiene un poco de sentido,que mi hermano grita mucho,0,que es muy brillante la pelota,cabello de zacate,sonrisa de hielo,mi dulce hermana,vendrán tiempos mejores,dientes de perla,la noche que quedo atrás,estrellas bonitas,no es posible,vestido de varias telas,se pueden tejer,que no me suena,no existe,varias esculturas de piedra,con un martillo y un palo puedes hacer esculturas,que eres fuerte,no es posible,que esta dura,no es posible,que si esta en la silla,no tiene sentido,son rápidos,si es real,llego o lo haces a tiempo,se entiende
108,no porque las pelotas no cantan,que su hermano grita mucho,0,no se me ocurre ninguna,como pasto es negro,como piedras son blancos,agresiva tramposa,0,salen la luna y las estrellas,que abra tiempos mejores,significa escultura,porque hay estrellas de escultura,0,no se,0,0,0,0,0,0,0,no se puede hacer,0,0,que corren para ganar,por que pueden ganar,que aun hay tiempo,por que aun puede haber tiempo de llegar a tiempo a un lugar
109,si porque cuando dice la pelota que canta se refiere a sus cabezas,que su hermano es griton,el vello porque cuando te lo quitas puedes hacer una pelota de vellos,que es un arete circular,es duro,0,buena y amable,0,se fue,si va a cambiar el futuro,estrellas hechas de cristal,por que si se puede hacer,vestidos hechos con tela,por que los he visto que los venden,0,por que se me hace imposible creer en eso,una persona de piedra,por que e visto,0,0,0,0,0,0,que los atletas están corriendo,porque salen en la tele o los ves pasar,que el tiempo siempre esta con nosotros,0
110,no porque no tiene ningún efecto,que llora y grita cuando necesita algo,una pelota que tiene de adorno pelos,0,suave liso delgado,duros blancos lisos,grande fuerte amable,bonita agradable expresiva,0,que pasaras mejores momentos que esos,brillan bonito,sino la noche estará totalmente oscura,suave liso y cómodo,0,0,0,bonita grande,por que he visto esculturas hechas sin piedra,0,0,0,0,0,0,para ponerse en forma,si no no estarían en forma,tener tiempo para alguna actividad,0
111,si es una frase feliz y divertida y alegre,que es muy divertido y grita mucho,mi primo es una pelota divertida,es una pelota muy divertida,Son muy blancas y bonitas,es suave bonita y alegre,una mirada muy bonita clara,unos ojos que son muy raros,que ya va a ser verano,que ya es la navidad,que son muy resistentes,que son muy fuertes y pueden ser fuertes,es un sobre donde pones cosas,es donde puedes poner un papel adentro,es un calendario diferente,yo creo que es un calendario diferente,es que es muy fuerte,es un carbón que puede quemar demasiado,son unos ojos extraños,son unos ojos raros y extraños,es un tipo de calceta extraña,es un tipo de calceta extraña de colores,tal ves ya sea un lugar,ya que se valla puede llegara a un punto,por que sus plumas no pueden aguantar el aire,no por que el aire consumo plumas no puedes,es es un anochecer,la noche si puede lagar
112,no ninguna pelota puede cantar,que es muy gritona,una pelota de oro porque una pelota de pelos nadie la quiere,esta hecha de plata,son liquidas y llueve leche,tu cuerpo es resbalosa,para conquistar a una niña,te arden los ojos,hace mucho calor,es navidad,que tiene piernas muy fuertes,por que si ases ejercicio tus piernas se ponen fuertes,que estas en el papel,por que si te pones sobre el papel de rompe,es que tienes un calendario de papel,tu puedes hacer un calendario de pasto,que tienes temperatura,cuando tienes temperatura esta caliente,cuando te arden,por que cuando te hachas limón a los ojos,cuando tienes una calceta a color,tienes una calceta color plata,una cebolla camina y llega a casa,una cebolla no camina,las aves vuelan,todas las gaviotas vuelan,hora se oscurecer,el sol se va y la luna llega
113,si porque rima,porque esta gordito y es griton,cabeza porque tiene pelos,que es una pelota de plata,estaba potadisada,que lo que tienen,no es ardiente,son los que tienes en la cara,uses cosas y te vas a lugares,que los reyes llegan,que tengas piernas de piedra,porque existe,que sobro el papel,porque si puede ocurrir,que es un calendario de zacate,así puede haber un calendario de zacate,que si el carbón es ardiente,por que si se puede se ta calienta el carbón,si puede sirve,también puede ser posible,que es una calsetare,no es posible,no es posible,no es posible,si es posible,si es posible por que si vuelan,también es posible,también bien es posible
114,no porque las pelotas no cantan,que grita mucho,perro tiene mucho pelo,que el de la tienda es muy buena persona,de vapor y bonitas,de colores,seria,redondos,hace sol,que la navidad llego,que te compras una pierna y te pongan otra,por que si se te llega a romper una pierna la sacan y la unen una robótica de acero,que algo traspasa el papel,por que todo puede traspasar el papel,que seas ingenioso,por que puede inventar cosas,que un carbón esta prendido,que algo te quedó,que estas triste,cuando alguien te dice ojos amargos es por que te ve triste,que son calcetas caras,por que te puedes comprar calcetas caras,que te hace llorar,que te hace llorar,que vuelan,por que son aves,que hace sueno,que ya te quieres dormir
115,si porque la mama puede cantar,que grita mucho,un gato tiene pelos,el minero saca la plata por eso,de vapor,de cuero,fijamente,blancos,hace calor,que llego una etapa del año,que tiene las piernas duras,por que no se puede adherir a nuestras piernas,un objeto,por que ya existe,0,por que no se puede,carbón que esta prendido,por que todo carbón se prende,0,por que los ojos no se prueban,que se ven de plata,por que molestaría,0,por que no camina,que vuelan,por que tienen alas,siempre llegara,por que da vueltas al planeta
116,si porque si se entiende,si,si,si,no a nubes de leche,no ay piel de seda,no ay mira ardiente,no ay ojos amargos,si el decano viene,si la navidad llego,significa que no hay piernas de acero,no por que como va haber piernas de acero,significa que como habrá sobre de papel,si va haber uno abre el sobre de papel,significa que si hay zacate,no habrá calendario de zacate,significa que si hay ardiente,si abra carbón ardiente,significa,que no hay ojos amargos,significa,que no hay calceta de plata,significa,que la cebolla llega,significa,que si las gaviotas vuelan,significa,que si la noche llega
117,no porque yo lo digo,si que es un bebe y que le meten un ladrillo por la boca para callarlo,0,una pelota chapada en oro,en el agua congelada en el cielo,de carne,puede ser diferente variación,azules rojos verdes también baria,maiova,caca,que en ves de tener carne tiene acero,puede haber piernas de prótesis pero no de nacimiento,esta parado y pisando un papel,estar parado y pisar el papel,por que no hay ninguna así,no creo y nunca he visto ese calendario,hay carbones grandes que lo aprendes y tardan en quemarse,se de hecho hay carbones del tamaño de una pelota de ping pong,ojos de que no expresan nada,hay personas amargadas pero ojos ,se desvestidos de oro pero calceta,eso no me quejo por que he visto y oído cosas mucho mas estúpidas,pero a donde llega a una carrera o que carajo,si osea a donde llega a la playa a una carrera,si es algo de la naturaleza,si osea es algo de la la naturaleza,de hecho al caer el sol llega la noche,si osea por si no saben 12 horas para el sol y 12 para la noche
118,si porque dices una rima,que grita mucho,rata,un oro,so de vapor,blanca morena negra,con los ojos,es una bola blanca y una bola adentro,que calor,de que la navidad viene,para las piernas que te protejan,por aquí puede ser que un unos lugares si los hagan,yo puedo hacer uno,por que yo los puedo hacer,solo hay de papel,yo solo he visto de papel,solo carbón negro,yo no lo he visto,hermosos,por que no creo,que hay una calceta de plata,yo no he visto una,no hay ninguna,yo he visto una cebolla,no hay ninguna,yo no he visto una,tal ves,la noche si llega
119,no porque las pelotas no cantan,porque grita,pelota de piojos porque es algo del cabello,es una pelota de plata,son cosas blancas que están en el cielo,suave,cuando ves a alguien,son cosas redondas que tenemos en la cara,las flores crecen y ase mucho calor,de que vienen los reyes magos,es para hacer casas,por que no la e visto,es como un sobre,por que con eso le mandan mensaje,pasto seco,por que no hay calendarios de pasto seco,es como madera caliente,porque yo la e visto,ojos amargos,por que amargos es una palabra rara,es algo de plata,por que la plata te daña la piel,la cebolla tiene pies,por que la cebolla no tiene pies,de que las gaviotas vuelan,por que ellos tienen alas,que la noche llega,por que cuando son las 800 la noche llega
120,no porque ellas no hablan,si porque tal vez así es y les guste decirle así,no existe,mi goma es una pelota de plata,blancas,gruesa y suave,mirar hacia algún lado,suaves y delicados,caen las hojas ase calor,frio felicidad,nada,por que no existe,que esta arriba del papel,si por que puede ser que esta arrbade el,nada,0,que un carbón seco,si hay ese tipo de carbón,nada,no porque no los he probado,nada,no porque no existe,nada,no por que no caminan,por que la vuela el aire,si por el aire,nada,por que no camina
121,no porque las pelotas no cantan,que grita mucho,hamster porque tiene alrededor de su rostro pelo,es que la luna es blanca y lo primero que se me vino a a mente de la plata fue la luna,0,blancos como la leche,tierna y amable y respetuosa,bonita feliz y impecable de romper,se fue a descansa para que salga el sol,que van a venir señores mejores,por que no hay estrellas de cristal,que las estrellas no están hechas de cristal,que hay vestidos de tela,creo que los vestidos de tela si son creados,que hay zapatos de miel,que no hay zapatos creados por miel,que si existen esculturas con piedra,que algunas esculturas si son de piedra,que las almas no son de hierro,que las almas no son de hierro,no se que significa,0,0,0,que los atletas si corren,los atletas si corren,que el tiempo si corre,que el tiempo corre todo el tiempo
122,0,0,pelota,0,suaves,dura y resistente,mirada fija,ojos groseros o asiendo una seña,hace calor,llego todo lo bueno,pierna hecha para personas con discapacidad,ya existe,correo,ya existe,un calendario,ya existe,fuego,ya existe,0,no existe,no se pero no creo que existan,no existe,0,no existe,pájaros,si existe,la noche,0
123,si porque es como rima,de que mi pelota es muy gritona como mi hermano,que mi mama tiene pelo en la cabeza,que mi hermanito planta flores,como cabello de paja,son dientes dorados,mi hermana es pegajoso y sabroso,sonrisa dura y fría,que la noche se quedo atrasada,que hay tiempos de risa,la iluminación,si es el nacimiento de estrellas,por que es de hilo,si por que es como de hilo o tela igual,los pegajosos,no por que se desasen con el sol,los hacían los antepasados,si como los que ponen en los museos,de pelea,de que los usaban en las peleas de países,se la robarían,por que se la robarían los perros y se pegan los piojos,nada,nada y no es posible,corredores,que son los que nadan o corren,nada,0
124,0,que grita mucho,mi perro es una pelota de pelos,que es una estrella de plata,de zacate,son de perlas,dulce,es una sonrisa de hielo,quedo atrás,vendrán cosas mejores,son de cristal,porque es posible,que es algo bonito,todo es bello,0,no es posible,es algo fuerte y bello,por que hay cosas fuertes,que alguien tiene fuerza dentro,0,0,no es posible,como que alguien ha llegado,por que si puede llegar alguien,que son grandes atletas,0,si,si porque cuando tienes que hacer algo y ya no te alcanza el tiempo
125,no porque las pelotas no cantan,que mi hermanito grita mucho,una pelota con lineas delgaduchas porque así es el cabello,fue el dinero porque la plata es dinero,pequeño de zacate,brillantes de perlas,dulce,de hielo,se quedo atrás,que vendrán mejores cosas,que hacen estrellas de cristal,por que si es posible,vestidos normales,porque todo vestido es así,que se hacen zapatos con miel,por que al congelar la miel la puedes moldear,que las esculturas son de piedra,0,que tiene una alma fuerte,por que no se puede hacer una alma de hierro,banqueta caliente,porque se hace fría,que ya llegó o la silla,por que las sillas no caminan,que un atleta corre,por que eso hacen,que nunca le ganaras al tiempo,por que el tiempo no dejara de correr
126,pelota que tiene ojos y boca nariz y habla,que mi hermano siempre grita,perro cabeza rata hamster conejo ratón,yo le entiendo una medalla,largo o corto peludo o pelón,blancos y chiquitos,0,bonita,salio el sol y se quito la noche,0,estrellas brillosas,por que si existe eso,un vestido que esta hecho a mano,porque yo si los he visto los vestidos,la miel derramada en un zapato,porque no es visto eso,una figura en una piedra,por que si existe eso,0,no la he visto,0,no se banqueta no es así,cuando encargas sillas y no llegan,si me ha pasado,carreras a pie,si existen esas cosas,si para el,si pasa lo he vivido
127,no porque las pelotas rebotan no cantan,que el hermano siempre grita,cabeza porque tiene pelos,la pelota es muy bonita,negro y delgado,blancos y fuertes,es muy amable,muy bonita y limpia,todos durmieron mucho,que hay que seguir adelante,que hay estrellas de cristal,por que son respuestas,que hay vestidos de tela,por que raspan mas,que hay zapatos de miel,por que así se responde,que hay esculturas de piedra,por que así se hacían,que casi no hablas,que no hablas con nadie,que hay banquetas,por que no es posible,que llego una silla,que ya llego una silla,que atletas corren,que los atletas corren,que hay tiempo,que hay mucho tiempo
128,si porque se le entiende a lo que dice,que su hermano rueda,la cabeza,que es valiosa,0,son los dientes muy blancos,que su hermana es dulce con el,es cuando tu boca queda abierta,que ya paso otra noche,hay alguien mejor que el,es una estrellas que no se mueve de lugar,por que las estrellas no se mueven,es un vestido echo con tela,es un vestido hecho a mano,zapatos amarillos,son unos zapatos amarillos,es hecho a mano,es hecho a a mano,es una alma que no se rinde,si es el alma que no se rinde,0,0,alguien trajo una silla,alguien trajo una silla,corren una vuelta,es una vuelta muy larga,alguien que hace algo en ese tiempo,es alguien que hace algo en ese tiempo
129,no porque nada mas dices pelota,que su hermanito grita mucho,un peluche una almohada el algodón etc porque tienen pelos pero de diferente material,yo digo que es pelota de hierro porque es un poco mas parecida a la plata,con pelos esponjoso y que sigue creciendo,son puros fuertes y limpios,es bondadosa amigable y limpia,bonita y blanca,se va por que la tierra gira hacia el sol y la luna,que después habrá un día mejor para nosotros,significa como el hielo pero como estrellas,0,significa un vestido hecho de pura tela,0,significa como unos zapatos hechos de miel,por que no existen zapatos hechos de miel,significa una estatua de alguien o algo,porque hay muchas esculturas de piedra en el país,significa como una alma hecha de hierro,por que nadie ha visto una alma hecha de hierro,significa como una banqueta que te abriga,por que ninguna banqueta a abrazado a alguien,significa que una silla puede caminar,porque que las sillas no caminan,significa que los corredores corren mucho,por que los atletas participan en muchas cosas,significa que el tiempo pasa rápido,por que el tiempo tiene segundos minutos horas etc
