,que mi hermanito grita mucho,n_similarities,2dim,5dim,10dim,20dim,50dim,eval_og
276,que su hermano grita mucho *,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
277,que su hermano llora mucho *,0.32829186,0.004135817,-0.024165545,-0.006690264,-0.000459008,-0.000103258,3
278,que su hermano grita mucho *,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
279,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
280,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
281,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
282,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
283,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
284,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
285,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
286,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
287,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
288,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
289,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
290,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
291,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
292,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
293,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
294,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
295,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
296,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
297,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
298,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
299,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
300,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
301,NS,0,0,0,0,0,0,1
302,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
303,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
304,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
305,mi hermano tiene una pelota de gritos,0.4533493,-0.007484943,-0.011129171,0.012889246,0.002554881,0.001125701,1
306,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
307,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
308,mi hermanito tiene una pelota de gritos,0.65185654,0.99260384,0.38317615,0.43624705,0.41112018,0.40943938,1
309,es una presion,0,0,0,0,0,0,2
310,la pelota tiene gritos,0.49769545,0.40505975,0.04858302,0.01812303,0.003198184,0.001409829,1
311,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
312,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
313,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
314,que su hermana es una pelota de gritos,0.58193195,0.5098972,0.050989818,0.016939051,-0.00173787,0.000717633,1
315,que su hermano grita mucho *,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
316,que su hermano grita mucho ,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
317,que su hermano es una pelota y que grita,0.60425675,0.6598271,0.44950983,0.41227862,0.4118954,0.41047364,2
318,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
319,porque grita cada rato,0.6714142,0.9952711,0.8226125,0.7058833,0.64399064,0.5081346,3
320,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
321,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
322,que su hermano grita o llora mucho*,0.5685067,0.6778558,0.5370535,0.40754598,0.40928763,0.40896627,3
323,qu su hermano grita mucho*,0.5216429,0.6621336,0.50842416,0.49985832,0.49891382,0.45198262,3
324,fer rovin,0,0,0,0,0,0,1
325,que grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
326,que es gritona,0.24782684,-0.4625459,-0.2740041,-0.019511063,-0.015808148,-0.000904816,3
327,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
328,que su hermano grita,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
329,que grita mucho*,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
330,que su hermano es una pelota y grita para que lo ayuden,0.62165046,0.6598271,0.44950983,0.41227862,0.4118954,0.41047364,3
331,que grita mucho*,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,0
332,el nino siempre esta gritando,0.6204053,-0.227334,0.25926232,-0.006738182,-0.000296604,-0.000169996,3
333,que esta gordito y grita mucho,0.6558389,0.99516606,0.84843904,0.7038979,0.5025464,0.5018801,3
334,que el hermanito grita todo el dia*,0.8323351,0.99999994,1,1,1,1,3
335,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
336,es decir. que grita el hermanitp y la pelota,0.67401385,0.9899199,0.63628876,0.5087837,0.5054569,0.5035176,2
337,que su hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
338,mi hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
339,porque es gordito y grita mucho*,0.6558389,0.99516606,0.84843904,0.7038979,0.5025464,0.5018801,3
340,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
341,mi hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
342,que grita mucho*,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
343,que grita mucho todo el tiempo. es porque esta feliz,0.6360364,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
344,a mi me gusta jugar futbol con la pelota porque suena,0.58044624,0.5149928,0.034460563,-0.02059824,-0.008002646,-0.001154926,2
345,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
346,que cuando quiere algo grita o cuando juega grita mucho,0.6174722,0.9955404,0.8180228,0.70508695,0.7020444,0.64668775,3
347,porque es muy griton. muy latoso.,0.5584624,-0.5148884,0.18331827,0.012331963,0.009298831,0.000613183,3
348,que su hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
349,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
350,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
351,que como su hermanito grita mucho. tiene una pelota de gritos,0.78995156,0.9982555,0.7416452,0.7457694,0.7110681,0.70902103,2
352,porque grita mucho y la pelota al rebotar suena,0.67401385,0.9902966,0.6177621,0.4879873,0.48134622,0.43891615,2
353,mi hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
354,mi hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
355,que siempre grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
356,chilla mucho cuando no tiene lo que quiere,0.53725517,0.46122682,0.037388176,0.15310349,-0.001660016,7.45E-07,3
357,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
358,que su hermanito es muy griton,0.63075066,0.17129984,0.49817607,0.49884492,0.49915034,0.49933305,3
359,que siempre esta gritando,0.5244153,-0.51134896,0.14512928,-0.002803262,-0.00037792,-0.000597566,3
360,que tiene muchos granos ***,0,0,0,0,0,0,1
361,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
362,que grita mucho y es muy travieso,0.6265745,0.994612,0.8160816,0.7102293,0.704049,0.5010719,3
363,que hace mucho berrinche o emocion,0.32395297,0.9140786,0.4489746,0.04583741,0.01198182,-5.62E-05,3
364,mi hermano grita mucho o simplemente llora mucho*,0.60891455,0.67555195,0.5397084,0.4066634,0.40746343,0.40449145,3
365,que su hermano esta gordito y grita mucho,0.597332,0.6695147,0.53677595,0.5090457,0.40996924,0.40943435,3
366,al decir pelota puede que sea que brinca mucho y grita,0.7043188,0.9896648,0.6304668,0.50348043,0.5011851,0.49847376,1
367,porque no le gusta que rebote la pelota,0.58044624,0.47919723,0.03767071,-0.015327595,-0.003712185,-0.000153199,1
368,que su hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
369,que llora de todo porque es muy pequeno,0.4469267,0.9581165,0.8983821,0.009973023,0.000451207,0.000368707,3
370,mi hermanito grita mucho,0.8323351,0.99999994,1,1,1,1,3
371,porque reganan mucho los hemanos,0.39523876,-0.61370903,-0.09270778,0.008171887,0.006348255,0.001932973,3
372,su hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
373,mi hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
374,es porque siempre grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
375,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
376,mi hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
377,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
378,su hermano es griton*,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
379,que su hermanito tiene guardado muchos gritos,0.6519906,0.91220653,0.60657537,0.6293448,0.5035955,0.50190413,3
380,mi hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
381,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
382,que su hermano es griton*,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
383,que mi hermano es muy escandaloso,0.2716431,-0.04945445,-0.089362964,-0.004715074,-0.004454553,-9.37E-05,3
384,que su hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
385,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
386,puedes decir que su hermanito es algo gordito y grita mucho,0.7950882,0.99999344,0.9993205,0.9965866,0.818744,0.818235,3
387,que su hermano a cada rato grita,0.63090134,0.6666465,0.51533705,0.5011588,0.47813365,0.41300437,3
388,que grita mucho y llora,0.6082816,0.99488807,0.83772904,0.5005956,0.50180143,0.50112516,3
389,quiere decir que el hermano grita constantemente,0.6818073,0.6625875,0.508497,0.5002865,0.4979454,0.49649978,3
390,que mi hermano menor grita todo el tiempo,0.59977597,0.66407895,0.5066729,0.5000041,0.49947488,0.40897202,3
391,que mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
392,que su hermanito es el que grita mas en su casa,0.80114126,0.99998736,0.9999039,0.99980927,0.9996997,0.998611,3
393,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
394,que mi hermano es griton*,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
395,porque no para de gritar,0.511367,-0.4759286,0.06437596,0.001832273,0.000335051,0.001115969,3
396,que grita sin parar con una pelota,0.5832647,0.9900814,0.63606054,0.5034852,0.49969065,0.4472569,2
397,que los ninos chiquitos hacen mucho berrinche,0.57183826,-0.2288703,0.057972487,0.000979545,0.006943288,-0.000721713,3
398,que su hermano es muy griton*,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
399,que su hermanito grita demasiado,0.8323351,0.99999994,1,1,1,1,3
400,mi hermanito es muy griton,0.63075066,0.17129984,0.49817607,0.49884492,0.49915034,0.49933305,3
401,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
402,mi hermanito es de berrinches,0.55162436,0.8825351,0.6904768,0.70163614,0.69566035,0.67019546,3
403,que su hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
404,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
405,mi hermano brinca mucho y llora de a gritos,0.5280012,0.004226148,0.000981403,0.013869144,-0.000540383,-0.001232497,3
406,que grita mucho*,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
407,es como si su pelota hace mucho ruido por eso dice. es una pelota de gritos,0.48993617,0.46190074,0.04812381,0.008192234,0.003252991,0.00147289,2
408,porque mi hermanito es gordo de muchos gritos,0.5895643,0.93059784,0.6095626,0.6339054,0.41896245,0.41085052,3
409,que su hermano siempre esta gritando y saltando,0.58269733,-0.08828074,0.0218627,-0.003427502,-0.000319723,-0.000449769,3
410,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
411,quiere decir que su hermanito grita mucho en casa,0.80114126,0.99998736,0.9999039,0.99980927,0.9996997,0.998611,3
412,que a su hermano le gustan los gritos,0.4267524,-0.043441027,-0.05620326,0.027511181,0.000473052,-0.000596214,2
413,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
414,que el hermano es ruidoso,0.27336535,-0.04174477,-0.07999456,0.006298203,0.00239992,0.000319695,3
415,que es una persona que no para de gritar,0.5918713,-0.031501412,0.104884505,-0.003039349,0.002710313,0.000846354,3
416,que su hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
417,su hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
418,su hermano es griton*,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
419,que su hermanito cuando llora. grita,0.7636749,0.9999663,0.9998965,0.8195754,0.8176248,0.81710565,3
420,mi hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
421,creo que quiere decir que mi hermano grita mucho pero la parte de la pelota no la entiendo,0.61502165,0.659259,0.44530115,0.4070737,0.40436304,0.39953715,2
422,quiere decir que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
423,el hermano siempre esta gritando como una pelota que siempre rebota,0.5751339,-0.05507326,0.04295144,-0.009614421,0.0011682,0.000206044,3
424,porque mi hermanito es muy latoso,0.71205497,0.8783062,0.68855613,0.70511484,0.70444584,0.49943376,2
425,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
426,mi hermano grita mucho*,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
427,que no para de llorar ni  quejarse y llorar y a cada rato esta gritando,0.57870805,-0.45624477,0.16904427,0.01548231,0.001277383,0.000251705,3
428,por que hace mucho ruido,0.23722401,0.48542637,0.13850747,0.08289279,0.001031524,0.000496015,3
429,"que es un hermano que grita mucho, mas de lo normal :v",0.5871836,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
430,que es una persona gritona,0.49405435,0.4364624,-0.07514648,-0.010276618,-0.002083743,-0.000573977,3
431,porque el nino grita mucho,0.67964834,0.99515414,0.8884622,0.50297177,0.5022851,0.5018149,3
432,es muy griton,0.357207,-0.5156076,0.17928916,0.003836334,0.000225902,0.000128835,3
433,que grita todo el tiempo,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
434,que su hermano es un griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
435,porque su hermanito sube demasiado la voz,0.6775881,0.8724249,0.69281554,0.70721173,0.704022,0.69761646,3
436,se refiere a que el hermano grita y el poeta ve a mundo como pelotas,0.6439608,0.66433346,0.5205157,0.513062,0.39728525,0.35736564,3
437,porque talves su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
438,por el grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
439,que no se esta en silencio jajajajaja,0.36478353,0,0,0,0,0,3
440,que su hermano puede gritar por que no tiene una pelota de pelos,0.57068765,-0.029747367,-0.031200256,-0.00888763,-0.0002313,-0.002814878,3
441,como esta pequeno da lata,0.4171305,0.9359093,0.69918305,0.16480622,-0.000360582,-0.001063352,3
442,que es bien yoron,0.22761625,0,0,0,0,0,3
443,cuando al hermano no le compran nada se pone gritar,0.5282761,-0.059550643,-0.07610418,-0.001386957,-0.000767227,0.000193696,3
444,que su hermano es una pelota que grita,0.60425675,0.6598271,0.44950983,0.41227862,0.4118954,0.41047364,3
445,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
446,que abla mucho o grita,0.66067064,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
447,que la nina se la pasa llorando o asiendo berrinche :v,0.56887174,-0.4930149,0.1723801,0.002485305,0.002077376,0.000507245,3
448,por que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
449,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
450,de que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
451,por que grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
452,por que no habla en voz baja,0.56864583,0.8686036,0.7355459,0.31644994,0.11170106,0.053699024,3
453,por que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
454,mi hermanito grita mucho,0.8323351,0.99999994,1,1,1,1,3
455,es gordito y grita mucho,0.6558389,0.99516606,0.84843904,0.7038979,0.5025464,0.5018801,3
456,por que el el hermano es u nino pequeno,0.47175202,0.001358211,0.042687286,0.006289028,0.000621491,0.000543756,3
457,que hay muchos gritos,0.39712816,-0.04560846,0.06525315,0.07751672,0.00214906,0.000879943,3
458,que exagera al hacer berrinche,0.4389023,0.9140786,0.4489746,0.04583741,0.01198182,-5.62E-05,3
459,nolo se xd,0,0,0,0,0,0,1
460,que llora mucho :v,0.3590144,0.97476524,0.941955,-0.007308953,-0.000567809,-0.000105321,3
461,grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
462,por que es dibertido,0.2510714,0,0,0,0,0,3
463,que cada q lo tocan hace un grito,0,-0.47494823,-0.50581026,-0.0475038,-0.000729237,-0.000472375,2
464,que su hermanito tiene muchas energias para gritar,0.6985847,0.93054724,0.66649246,0.50945675,0.508703,0.5030255,3
465,que mi hermanito no para de gritar,0.688523,0.93054724,0.66649246,0.50945675,0.508703,0.5030255,3
466,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
467,que su hermano es alguien que grita mucho,0.5576285,0.6621028,0.50955135,0.49516097,0.48458773,0.41586703,3
468,q cuando le pegan el se pone a gritar,0.6011555,-0.477089,0.042162046,0.000171371,-0.000995014,0.000302035,2
469,porque se la pasa gritando el pensativo ajajjajaj,0.5433742,-0.5132432,0.15322389,-0.000150247,-5.30E-05,0.000148974,2
470,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,2
471,mi hermano etsa muy gordo y se la pasa gritando.,0.46553016,-0.09988609,0.07741828,0.009283695,0.001369745,0.000209961,1
472,si porque frita mucho,0,0,0,0,0,0,1
473,que enpieza a gritar,0.511367,-0.4759286,0.06437596,0.001832273,0.000335051,0.001115969,1
474,por que chilla mucho,0.53725517,0.46122682,0.037388176,0.15310349,-0.001660016,7.45E-07,1
475,no,0,0,0,0,0,0,1
476,que mi hermano en redondo y grita mucho,0.56483823,0.6645656,0.5137783,0.50710964,0.50474167,0.5022047,1
477,porque los hermanos lloran mucho,0.47284687,-0.45565844,-0.0864361,-0.04405912,-0.017742828,-0.00014477,1
478,no,0,0,0,0,0,0,1
479,qu su hermano se la pasa gritando osea es un desastroso,0.5242631,-0.10952288,0.06381308,-0.001319088,-0.000436395,-9.97E-05,3
480,explica que el hermano grita mucho e inquieto,0.5885204,0.6591112,0.50299287,0.49679643,0.4955786,0.4124123,3
481,13fg,0,0,0,0,0,0,0
482,es griton,0.357207,-0.5156076,0.17928916,0.003836334,0.000225902,0.000128835,3
483,que su hermanito es gordo y grita mucho,0.7505286,0.9999882,0.99971795,0.9983213,0.83464575,0.8207096,3
484,se refiere a que el hermanito siempre grita,0.8365584,0.9999118,0.99990445,0.98167413,0.8360371,0.8221354,3
485,por que su hermano solo grita,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
486,que su hermano chico grita mucho o habla mucho,0.5418121,0.6627966,0.50658345,0.50040054,0.49836528,0.49767888,3
487,"que grita, o llora mucho por eso es una pelota de gritos",0.65907854,0.9867062,0.5680321,0.37701285,0.35805485,0.35596913,3
488,que su hermano no se para de quejar a cada rato anda gritando,0.54569757,-0.08396694,0.032214466,-0.001715001,-0.001070384,0.000138368,3
489,que es un nino que grita mucho,0.67964834,0.99515414,0.8884622,0.50297177,0.5022851,0.5018149,3
490,por que el grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
491,que su hermano puede gritar por que tiene una pelotas de pelos,0.5550229,-0.055704117,-0.066425905,0.011533735,0.010422072,-0.00203614,2
492,grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
493,que es lloron,0.22761625,-0.15396896,-0.13138153,-0.03529957,-0.0313906,-0.001716498,3
494,que tiene muchos sentimientos,0,0,0,0,0,0,2
495,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
496,que tu hermano grita mucho y me desespera creo que eso dice la frase de pelota de gritos supongo,0.6104361,0.6531358,0.40679896,0.37500238,0.34665737,0.32306612,3
497,que el siempre grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
498,por que los hermanitos son muy molestones,0,0,0,0,0,0,2
499,de que el hermano nada mas se la pasa gritando y eso molesta,0.609516,-0.11031619,0.063482285,-0.002474256,-0.000721924,-0.000224419,3
500,que su hermano grita todo el tiempo,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
501,porque grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
502,que es un griton,0.357207,-0.5156076,0.17928916,0.003836334,0.000225902,0.000128835,3
503,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
504,por que esta gordo y gita,0.5093061,0.85884464,0.6203642,0.21420515,0.003049051,0.000252599,3
505,que es un ruidoso,0.29879805,-0.23715976,0.12515193,0.17669535,0.003651459,0.000494871,3
506,que da mucha lata,0.31102192,0.8964883,0.67433083,0.16213512,-0.0128364,-0.00934965,2
507,que su hermanito grita mucho,0.8323351,0.99999994,1,1,1,1,3
508,por que gryta mucho mi ermanito,0.8323351,0,0,0,0,0,3
509,por que mi hermanito grita mucho,0.8323351,0.99999994,1,1,1,1,3
510,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
511,que es fastidioso,0.46364325,0.66962415,-0.019805968,0,0,0,1
512,una pelota mu enojada,0.40923604,0.5306839,0.04140625,-0.010899864,0.002403207,0.001123399,1
513,no see,0,0,0,0,0,0,0
514,que es muy platicon,0,0,0,0,0,0,2
515,que es muy berrinchudo,0.2241916,0,0,0,0,0,3
516,mi hermanito es un nino de gritos,0.6524389,0.9447313,0.62293303,0.46764556,0.41088837,0.40972066,3
517,xk su hermano simpre grita,0.5543039,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
518,que su hermano es muy gordo y grita mucho,0.48241612,0.66663563,0.5245671,0.5110693,0.4194676,0.41093174,3
519,mi hermano es muy griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
520,que es alguien muy griton,0.4519111,-0.4947878,0.18112296,-0.000732839,-0.001334876,0.001026496,3
521,el hermano es muy inquieto,0.39415604,-0.043902516,-0.08782719,-0.004838571,-0.002701398,-0.000231333,2
522,porque los ninos son muy escandalosos,0.5784737,-0.48266137,-0.24854742,-0.005152774,0.005361786,-0.000996614,3
523,la forma de expresar a un ser por medio de palabras metaforicas,0.3541841,0.952615,0.5206539,0.2441681,0.19584736,0.005657082,3
524,que su hermano es una persona que grita mucho,0.6325708,0.66886854,0.505454,0.4237279,0.4185616,0.40894145,3
525,por que grita mucho y salta mucho,0.51384664,0.99541163,0.81386876,0.7112607,0.7067349,0.7052403,3
526,tal vez por que es algo griton y molesto,0.42040187,-0.51614636,0.17975734,0.002808005,-0.000944883,-0.001022607,3
527,significa que reclama o llora mucho,0.3512686,0.9552797,0.7962744,-0.011372916,-0.005813129,-0.000636462,3
528,que el hermanito grite mucho,0.7042656,0.8725033,0.6919663,0.70744383,0.7068937,0.7066524,3
529,que se unde en el llanto,0.30212778,0,0,0,0,0,3
530,que su hermano grita mucho todo el tiempo,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
531,que su hermanito grita mucho,0.8323351,0.99999994,1,1,1,1,3
532,poequ es bien griton,0.357207,-0.5156076,0.17928916,0.003836334,0.000225902,0.000128835,3
533,por que siempre grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
534,por que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
535,por que llora mucho,0.3590144,0.97476524,0.941955,-0.007308953,-0.000567809,-0.000105321,3
536,es un nino que se la pasa gritando y llorando todo el dia,0.65461457,-0.3365936,0.224984,-0.004558653,-7.41E-06,0.000360409,3
537,por que chillan mucho o gritan mucho exageran,0.5876535,-0.46977428,-0.10328539,-0.016626813,-0.004308017,0.001023797,3
538,que su mama es una persona muy gritona,0.49405435,0.4364624,-0.07514648,-0.010276618,-0.002083743,-0.000573977,2
539,q no entisende,0,0,0,0,0,0,1
540,por que se la pasa gritando,0.5433742,-0.5132432,0.15322389,-0.000150247,-5.30E-05,0.000148974,3
541,porque grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
542,su hermano es un nino que grita mucho,0.6085533,0.6751772,0.5741545,0.40921786,0.40975112,0.40946153,3
543,que es muy ruidoso,0.29879805,-0.23715976,0.12515193,0.17669535,0.003651459,0.000494871,3
544,es una maquina o bien alguien que grita demasiado,0.66800743,0.9944154,0.81719816,0.6979717,0.66645896,0.5135159,3
545,pirhhhhgvfriufueiituj,0,0,0,0,0,0,1
546,por que llora o le hacen algo,0.3590144,0.97476524,0.941955,-0.007308953,-0.000567809,-0.000105321,3
547,puen que su hermana grita mucho,0.6899859,0.9958532,0.81491196,0.70420796,0.6812233,0.5007407,3
548,NS,0,0,0,0,0,0,1
549,and fort,0,0,0,0,0,0,1
550,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
551,porque grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
